StockSymbol,CompanyName
003H11,KINEA CO-INVESTIMENTO FDO INV IMOB
A1AP34,ADVANCE AUTO PARTS INC
A1BM34,ABIOMED Inc
A1CR34,AMCOR PLC
A1DI34,ANALOG DEVICES INC
A1DM34,ARCHER-DANIELS-MIDLAND CO
A1EE34,AMEREN CORP
A1EN34,ALLIANT ENERGY CORP
A1EP34,AMERICAN ELECTRIC POWER CO INC
A1ES34,AES CORP
A1FL34,AFLAC INC
A1GI34,AGILENT TECHNOLOGIES INC
A1GN34,ALLEGION PLC
A1IV34,APARTMENT INVESTMENT & MANAGEMENT CO
A1JG34,ARTHUR J GALLAGHER & CO
A1KA34,AKAMAI TECHNOLOGIES INC
A1LB34,ALBEMARLE CORP
A1LG34,ALIGN TECHNOLOGY INC
A1LK34,ALASKA AIR GROUP INC
A1LL34,ALLIANCE DATA SYSTEMS CORP
A1LN34,ALNYLAM PHARMACEUTICALS INC
A1LX34,ALEXION PHARMACEUTICALS INC
A1MB34,AMERISOURCEBERGEN CORP
A1MD34,ADVANCED MICRO DEVICES INC
A1ME34,AMETEK INC
A1MP34,AMERIPRISE FINANCIAL INC
A1MT34,APPLIED MATERIALS INC
A1NE34,ARISTA NETWORKS INC
A1NS34,ANSYS INC
A1NT34,ANTHEM INC
A1ON34,AON PLC
A1OS34,AO SMITH CORP
A1PA34,APACHE CORP
A1PD34,AIR PRODUCTS & CHEMICALS INC
A1PH34,AMPHENOL CORP
A1RE34,ALEXANDRIA REAL ESTATE EQUITIES INC
A1SU34,ASSURANT INC
A1TM34,ATMOS ENERGY CORP
A1TT34,ALLSTATE CORP
A1UT34,AUTODESK INC
A1VB34,AVALONBAY COMMUNITIES INC
A1VY34,AVERY DENNISON CORP
A1WK34,AMERICAN WATER WORKS CO INC
A1YX34,ALTERYX INC
AALL34,AMERICAN AIRLINES GROUP INC.
AALR3,CENTRO DE IMAGEM DIAGNOSTICOS S.A.
AAPL34,APPLE INC.
ABBV34,ABBVIE INC.
ABCB10,BCO ABC BRASIL S.A.
ABCB4,BCO ABC BRASIL S.A.
ABCP11,FDO INV IMOB GRAND PLAZA SHOPPING
ABEV3,AMBEV S.A.
ABTT34,ABBOTT LABORATORIES
ABUD34,ANHEUSER-BUSCH INBEV SA/NV
ACNB34,ACCENTURE PLC
ADBE34,ADOBE INC
ADHM3,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
ADPR34,AUTOMATIC DATA PROCESSING INC
AFCF11,AFRICA FILMES S/C LTDA.
AFCR11,AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.
AFCV12,A F CINEMA E VIDEO LTDA
AFLT3,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
AFOF11,ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO
AGBK10,BANCO AGIBANK S.A.
AGBK11,BANCO AGIBANK S.A.
AGBK4,BANCO AGIBANK S.A.
AGRA4,AGRALE S/A
AGRO3,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
AHEB3,SAO PAULO TURISMO S.A.
AHEB5,SAO PAULO TURISMO S.A.
AHEB6,SAO PAULO TURISMO S.A.
AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.
AIGB34,AMERICAN INTERNATIONAL GROUP INC.
ALEF3B,ALEF S.A.
ALMI11,FDO INV IMOB - FII TORRE ALMIRANTE
ALPA3,ALPARGATAS S.A.
ALPA4,ALPARGATAS S.A.
ALPK3,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
ALSO3,ALIANSCE SONAE SHOPPING CENTERS S.A.
ALUP11,ALUPAR INVESTIMENTO S/A
ALUP3,ALUPAR INVESTIMENTO S/A
ALUP4,ALUPAR INVESTIMENTO S/A
ALZR11,ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
AMAR3,MARISA LOJAS S.A.
AMBP3,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
AMGN34,AMGEN INC.
AMZG11,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZG3,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZG9,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZO34,"AMAZON.COM, INC"
ANCR11B,FDO INV IMOB - FII ANCAR IC
ANGC11,FDO INV IMOB RENDA CORPORATIVA ANGICO - FII
ANIM3,ANIMA HOLDING S.A.
APER3,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
APTI3,SIDERURGICA J. L. ALIPERTI S.A.
APTI4,SIDERURGICA J. L. ALIPERTI S.A.
APTV34,APTIV PLC
AQLL11,ÁQUILLA FDO INV IMOB - FII
ARCT11,RIZA ARCTIUM REAL ESTATE FDO INV IMOB
ARCT13,RIZA ARCTIUM REAL ESTATE FDO INV IMOB
ARFI11B,AQ3 RENDA FDO INV IMOB - FII
ARMT11,ARCELORMITTAL
ARMT34,ARCELORMITTAL
ARNC34,HOWMET AEROSPACE INC.
ARRI11,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS
ARZZ3,AREZZO INDÚSTRIA E COMÉRCIO S.A.
ASML34,ASML HOLDING NV
ATCR11,HAZ FDO INV IMOB - FII
ATCR13,HAZ FDO INV IMOB - FII
ATMP3,ATMA PARTICIPAÇÕES S.A.
ATOM3,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
ATSA11,HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB
ATTB34,AT&T INC.
ATVI34,ACTIVISION BLIZZARD INC
AURA32,AURA MINERALS INC.
AVGO34,BROADCOM INC
AVLL3,ALPHAVILLE S.A.
AWII34,ARMSTRONG WORLD INDUSTRIES INC
AXPB34,AMERICAN EXPRESS COMPANY
AZEV3,AZEVEDO E TRAVASSOS S.A.
AZEV4,AZEVEDO E TRAVASSOS S.A.
AZOI34,AUTOZONE INC
AZUL4,AZUL S.A.
B1AM34,BROOKFIELD ASSET MANAGEMENT INC
B1AX34,BAXTER INTERNATIONAL INC
B1BT34,TRUIST FINANCIAL CORPORATION
B1DX34,BECTON DICKINSON AND CO
B1FC34,BROWN FORMAN CORP
B1KR34,BAKER HUGHES CO
B1LL34,BALL CORP
B1MR34,BIOMARIN PHARMACEUTICAL INC
B1RF34,BROADRIDGE FINANCIAL SOLUTIONS INC
B1SX34,BOSTON SCIENTIFIC CORP
B1WA34,BORGWARNER INC
B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO"
BABA34,ALIBABA GROUP HOLDING LTD
BAHI3,BAHEMA EDUCAÇÃO S.A.
BALM3,BAUMER S.A.
BALM4,BAUMER S.A.
BARI11,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII
BAUH3,EXCELSIOR ALIMENTOS S.A.
BAUH4,EXCELSIOR ALIMENTOS S.A.
BAZA3,BCO AMAZONIA S.A.
BBAS11,BCO BRASIL S.A.
BBAS12,BCO BRASIL S.A.
BBAS3,BCO BRASIL S.A.
BBDC3,BCO BRADESCO S.A.
BBDC4,BCO BRADESCO S.A.
BBFI11B,BB FDO INV IMOB PROGRESSIVO
BBFP11,BANG BANG FILMES PRODUCOES LTDA.
BBIM11,BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII
BBML3,BBM LOGISTICA S.A.
BBOV11,BB ETF IBOVESPA FUNDO DE ÍNDICE
BBPO11,BB PROGRESSIVO II FDO INV IMOB - FII
BBRC11,BB RENDA CORPORATIVA FDO INV IMOB - FII
BBRK3,BRASIL BROKERS PARTICIPACOES S.A.
BBSD11,BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE
BBSE3,BB SEGURIDADE PARTICIPAÇÕES S.A.
BBVH11,FIDC BB VOTORANTIM HIGHLAND INFRAESTRUTURA
BBVH12,FIDC BB VOTORANTIM HIGHLAND INFRAESTRUTURA
BBVJ11,CIDADE JARDIM CONTINENAL TOWER FDO INV IMOB
BBYY34,"BEST BUY CO., INC."
BCFF11,FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS
BCIA11,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII
BCPS3,CLARO S.A.
BCPS4,CLARO S.A.
BCRI11,BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII
BCSA34,BANCO SANTANDER SA
BDIV11,BTG PACTUAL IE DIV. FDO INV. PART. IE
BDIV13,BTG PACTUAL IE DIV. FDO INV. PART. IE
BDLL3,BARDELLA S.A. INDUSTRIAS MECANICAS
BDLL4,BARDELLA S.A. INDUSTRIAS MECANICAS
BDRX11,ÍNDICE DE BDR NÃO PATROCINADO - GLOBAL
BEEF11,MINERVA S.A.
BEEF3,MINERVA S.A.
BEES3,BANESTES S.A. - BCO EST ESPIRITO SANTO
BEES4,BANESTES S.A. - BCO EST ESPIRITO SANTO
BEGB4,BANCO BERJ S.A.
BERK34,BERKSHIRE HATHAWAY INC.
BETP3B,BETAPART PARTICIPACOES S.A.
BGIP3,BCO ESTADO DE SERGIPE S.A. - BANESE
BGIP4,BCO ESTADO DE SERGIPE S.A. - BANESE
BHPG34,BHP GROUP LTD
BICR11,INTER TÍTULOS IMOB. FDO INV. IMOB.
BIDI11,BANCO INTER S.A.
BIDI3,BANCO INTER S.A.
BIDI4,BANCO INTER S.A.
BIDU34,BAIDU INC
BIGD11,BIGDENI FILMES DO BRASIL LTDA.
BIIB34,BIOGEN INC.
BILB34,BANCO BILBAO VIZCAYA ARGENTARIA SA
BIOM11,BIOMM S.A.
BIOM3,BIOMM S.A.
BKBR3,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA
BKNG34,BOOKING HOLDINGS INC
BKOI11,FDO INV PART BKO I MULTIESTRATEGIA
BLAK34,"BLACKROCK, INC."
BLAU3,BLAU FARMACÊUTICA S.A.
BLCP11,BLUECAP RENDA LOG. FDO INV. IMOB. - FII
BLCP13,BLUECAP RENDA LOG. FDO INV. IMOB. - FII
BLMG11,BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.
BLMO11,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.
BLMO13,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.
BLMO14,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.
BLMO15,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.
BLMR11,BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.
BMEB3,BCO MERCANTIL DO BRASIL S.A.
BMEB4,BCO MERCANTIL DO BRASIL S.A.
BMGB4,BANCO BMG S.A.
BMII11,FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO
BMIN3,BCO MERCANTIL DE INVESTIMENTOS S.A.
BMIN4,BCO MERCANTIL DE INVESTIMENTOS S.A.
BMKS3,BICICLETAS MONARK S.A.
BMLC11B,FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS
BMYB11,BRISTOL-MYERS SQUIBB COMPANY
BMYB34,BRISTOL-MYERS SQUIBB COMPANY
BNBR3,BCO NORDESTE DO BRASIL S.A.
BNFS11,BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII
BOAC34,BANK OF AMERICA CORPORATION
BOAS3,BOA VISTA SERVIÇOS S.A.
BOBR3,BOMBRIL S.A.
BOBR4,BOMBRIL S.A.
BOEI34,THE BOEING COMPANY
BONY34,THE BANK OF NEW YORK MELLON CORPORATION
BOVA11,ISHARES IBOVESPA FUNDO DE ÍNDICE
BOVB11,ETF BRADESCO IBOVESPA FDO DE INDICE
BOVV11,IT NOW IBOVESPA FUNDO DE ÍNDICE
BOXP34,"BOSTON PROPERTIES, INC"
BPAC11,BCO BTG PACTUAL S.A.
BPAC3,BCO BTG PACTUAL S.A.
BPAC5,BCO BTG PACTUAL S.A.
BPAN11,BCO PAN S.A.
BPAN4,BCO PAN S.A.
BPAR3,BCO ESTADO DO PARA S.A.
BPFF11,FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS
BPFF13,FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS
BPFF14,FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS
BPML11,FDO INV IMOB BTG PACTUAL SHOPPINGS
BPRP11,FDO INV IMOB - FII BRLPROP
BRAP3,BRADESPAR S.A.
BRAP4,BRADESPAR S.A.
BRAX11,ISHARES IBRX - ÍNDICE BRASIL (IBRX-100) FDO ÍNDICE
BRBI11,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.
BRBI3,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.
BRBI4,BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.
BRCO11,BRESCO LOGÍSTICA - FDO INV IMOB
BRCP11,FDO BRASCAN DE PETROLEO GAS E ENERG-FIP
BRCR11,FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND
BRDT3,PETROBRAS DISTRIBUIDORA S/A
BREV11,BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB
BREV13,BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB
BRFS3,BRF S.A.
BRGE11,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRGE12,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRGE3,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRGE5,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRGE6,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRGE7,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRGE8,CONSORCIO ALFA DE ADMINISTRACAO S.A.
BRHT11B,FDO INV IMOB BR HOTEIS - FII
BRHT12B,FDO INV IMOB BR HOTEIS - FII
BRIM11,BRIO REAL ESTATE II - FDO INV IMOB
BRIP11,BRIO REAL ESTATE III FDO DE INVEST. IMOB.
BRIV3,BCO ALFA DE INVESTIMENTO S.A.
BRIV4,BCO ALFA DE INVESTIMENTO S.A.
BRKM3,BRASKEM S.A.
BRKM5,BRASKEM S.A.
BRKM6,BRASKEM S.A.
BRLA11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II
BRML3,BR MALLS PARTICIPACOES S.A.
BRPR11,BR PROPERTIES S.A.
BRPR3,BR PROPERTIES S.A.
BRQB3,BRQ SOLUCOES EM INFORMATICA S.A.
BRSR3,BCO ESTADO DO RIO GRANDE DO SUL S.A.
BRSR5,BCO ESTADO DO RIO GRANDE DO SUL S.A.
BRSR6,BCO ESTADO DO RIO GRANDE DO SUL S.A.
BRZP11,"BRZ INFRA PORTOS FDO, INV. EM PART. INFRAESTRUTURA"
BSAN11,BCO SANTANDER S.A.
BSEV3,BIOSEV S.A.
BSLI3,BRB BCO DE BRASILIA S.A.
BSLI4,BRB BCO DE BRASILIA S.A.
BTCR11,FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO
BTLG11,BTG PACTUAL LOGISTICA FDO INV IMOB - FII
BTLG14,BTG PACTUAL LOGISTICA FDO INV IMOB - FII
BTOW3,B2W - COMPANHIA DIGITAL
BTSG11,BTSP I FDO. INVEST. IMOB - FII
BTSG13,BTSP I FDO. INVEST. IMOB - FII
BTSG14,BTSP I FDO. INVEST. IMOB - FII
BTSG15,BTSP I FDO. INVEST. IMOB - FII
BTSG16,BTSP I FDO. INVEST. IMOB - FII
BTSG17,BTSP I FDO. INVEST. IMOB - FII
BTSG18,BTSP I FDO. INVEST. IMOB - FII
BTSG19,BTSP I FDO. INVEST. IMOB - FII
BTSG20,BTSP I FDO. INVEST. IMOB - FII
BTSG21,BTSP I FDO. INVEST. IMOB - FII
BTSG22,BTSP I FDO. INVEST. IMOB - FII
BTTL3,BATTISTELLA ADM PARTICIPACOES S.A.
BUHY11,CAMBUHY I FDO INV EM ACOES
BVAR11,FDO INV IMOB BRASIL VAREJO - FII
BVEN11,BOA VISTA ENERGIA S.A.
BVEN3,BOA VISTA ENERGIA S.A.
BVEN9,BOA VISTA ENERGIA S.A.
BZLI11,BRAZIL REALTY FDO INV IMOB
C1AB34,CABLE ONE INC
C1AG34,CONAGRA BRANDS INC
C1AH34,CARDINAL HEALTH INC
C1BL34,CHUBB LTD
C1BO34,CBOE GLOBAL MARKETS INC
C1BR34,CBRE GROUP INC
C1BS34,VIACOMCBS Inc.
C1CI34,CROWN CASTLE INTERNATIONAL CORP
C1CL34,CARNIVAL CORP
C1DN34,CADENCE DESIGN SYSTEMS INC
C1DW34,CDW CORPORATION
C1ER34,CERNER CORP
C1FG34,CITIZENS FINANCIAL GROUP INC
C1FI34,CF INDUSTRIES HOLDINGS INC
C1GP34,COSTAR GROUP INC
C1HK34,CHECK POINT SOFTWARE TECHNOLOGIES LTD
C1HR34,CH ROBINSON WORLDWIDE INC
C1IC34,Cigna Corp
C1MA34,COMERICA INC
C1MG34,CHIPOTLE MEXICAN GRILL INC
C1MI34,CUMMINS INC
C1MS34,CMS ENERGY CORP
C1NC34,CENTENE CORP
C1NP34,CENTERPOINT ENERGY INC
C1NS34,CELANESE CORP
C1OG34,CABOT OIL & GAS CORP
C1OO34,COOPER COMPANIES INC
C1OU34,COUPA SOFTWARE INC
C1PB34,Campbell Soup Co
C1PR34,COPART INC
C1RR34,CARRIER GLOBAL CORPORATION
C1TA34,CINTAS CORP
C1TV34,CORTEVA INC
C1TX34,CITRIX SYSTEMS INC
C1XO34,CONCHO RESOURCES INC
CABI3B,CABINDA PARTICIPACOES S.A.
CACO3B,CACONDE PARTICIPACOES S.A.
CAFI11,FIDC BNP PARIBAS CAFAM INFRAESTRUTURA I
CAFI12,FIDC BNP PARIBAS CAFAM INFRAESTRUTURA I
CAIA3B,CAIANDA PARTICIPACOES S.A.
CAJI34,CANON INC
CALI3,CONSTRUTORA ADOLPHO LINDENBERG S.A.
CALI4,CONSTRUTORA ADOLPHO LINDENBERG S.A.
CAMB3,CAMBUCI S.A.
CAML3,CAMIL ALIMENTOS S.A.
CAON34,CAPITAL ONE FINANCIAL CORP
CAPH34,CAPRI HOLDINGS LTD
CARD3,CSU CARDSYSTEM S.A.
CARE11,BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII
CARE12,BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII
CASH3,MÉLIUZ S.A.
CASN3,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN
CASN4,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN
CATA3,CIA INDUSTRIAL CATAGUASES
CATA4,CIA INDUSTRIAL CATAGUASES
CATP34,CATERPILLAR INC.
CBEE3,AMPLA ENERGIA E SERVICOS S.A.
CBOP11,CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII
CCAT3,COMFIO COMPANHIA CATARINENSE DE FIACAO
CCAT4,COMFIO COMPANHIA CATARINENSE DE FIACAO
CCPR3,CYRELA COMMERCIAL PROPERT S.A. EMPR PART
CCRO3,CCR S.A.
CEAB3,CEA MODAS S.A.
CEAC11,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A
CEAC3,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A
CEAC4,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A
CEAG3,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP
CEAL11,COMPANHIA ENERGETICA DE ALAGOAS
CEAL3,COMPANHIA ENERGETICA DE ALAGOAS
CEAL4,COMPANHIA ENERGETICA DE ALAGOAS
CEBR3,CIA ENERGETICA DE BRASILIA
CEBR5,CIA ENERGETICA DE BRASILIA
CEBR6,CIA ENERGETICA DE BRASILIA
CEDO3,CIA FIACAO TECIDOS CEDRO CACHOEIRA
CEDO4,CIA FIACAO TECIDOS CEDRO CACHOEIRA
CEEB3,CIA ELETRICIDADE EST. DA BAHIA - COELBA
CEEB5,CIA ELETRICIDADE EST. DA BAHIA - COELBA
CEEB6,CIA ELETRICIDADE EST. DA BAHIA - COELBA
CEED3,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D
CEED4,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D
CEGR3,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG
CEOC11,FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES
CEPE3,CIA ENERGETICA DE PERNAMBUCO - CELPE
CEPE5,CIA ENERGETICA DE PERNAMBUCO - CELPE
CEPE6,CIA ENERGETICA DE PERNAMBUCO - CELPE
CERO3,CENTRAIS ELETRICAS DE RONDONIA S/A CERON
CERO9,CENTRAIS ELETRICAS DE RONDONIA S/A CERON
CESA3,CIA ESTADUAL DE SILOS E ARMAZENS
CESP3,CESP - CIA ENERGETICA DE SAO PAULO
CESP5,CESP - CIA ENERGETICA DE SAO PAULO
CESP6,CESP - CIA ENERGETICA DE SAO PAULO
CFHI11,CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO
CFHO3,CARVALHO HOLDINGS SA
CFHO4,CARVALHO HOLDINGS SA
CGAS3,CIA GAS DE SAO PAULO - COMGAS
CGAS5,CIA GAS DE SAO PAULO - COMGAS
CGOS3,CELG DISTRIBUICAO S.A. - CELG D
CGRA3,GRAZZIOTIN S.A.
CGRA4,GRAZZIOTIN S.A.
CHCM34,CHARTER COMMUNICATIONS INC
CHDC34,CHURCH & DWIGHT CO INC
CHME34,CME GROUP INC.
CHVX34,CHEVRON CORPORATION
CIEL3,CIELO S.A.
CINF34,CINCINNATI FINANCIAL CORP
CJFI11,FDO INV IMOB CJ - FII
CLSC3,CENTRAIS ELET DE SANTA CATARINA S.A.
CLSC4,CENTRAIS ELET DE SANTA CATARINA S.A.
CLXC34,CLOROX COMPANY
CMCS34,COMCAST CORPORATION
CMIG15,CIA ENERGETICA DE MINAS GERAIS - CEMIG
CMIG3,CIA ENERGETICA DE MINAS GERAIS - CEMIG
CMIG4,CIA ENERGETICA DE MINAS GERAIS - CEMIG
CMNS3,CMN SOLUTIONS AO18 PARTICIPACOES S.A.
CMSA3,CIMS S.A.
CMSA4,CIMS S.A.
CNES11,FDO INV IMOB - FII CENESP
CNIC34,CANADIAN NATIONAL RAILWAY CO
CNRT5,CICANORTE IND CONSERVAS ALIMENTICIAS S.A
CNSY3,CINESYSTEM S.A.
CNTO3,GRUPO SBF SA
COCA34,THE COCA-COLA COMPANY
COCE3,CIA ENERGETICA DO CEARA - COELCE
COCE5,CIA ENERGETICA DO CEARA - COELCE
COCE6,CIA ENERGETICA DO CEARA - COELCE
COCN5,CIA DE COCOS DO NORDESTE
COGN3,COGNA EDUCAÇÃO S.A.
COLG34,COLGATE-PALMOLIVE COMPANY
CONX3,TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.
COPH34,CONOCOPHILLIPS
CORR3,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA
CORR4,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA
COTY34,"COTY, INC."
COWC34,COSTCO WHOLESALE CORPORATION
CPCH3,CAPITAL CENTER HOTEIS S.A.
CPCH7,CAPITAL CENTER HOTEIS S.A.
CPFE3,CPFL ENERGIA S.A.
CPFF11,CAPITÂNIA REIT FOF - FDO. INVEST. IMOB
CPIS11,COMPANHIA ENERGETICA DO PIAUI
CPIS12,COMPANHIA ENERGETICA DO PIAUI
CPIS3,COMPANHIA ENERGETICA DO PIAUI
CPIS4,COMPANHIA ENERGETICA DO PIAUI
CPLE3,CIA PARANAENSE DE ENERGIA - COPEL
CPLE5,CIA PARANAENSE DE ENERGIA - COPEL
CPLE6,CIA PARANAENSE DE ENERGIA - COPEL
CPNO7,COPENOR - CIA PETROQUIMICA DO NORDESTE
CPRL34,CANADIAN PACIFIC RAILWAY LTD
CPTS11,CAPITANIA SECURITIES II FDO INV IMOB - FII
CRDA34,CREDIT ACCEPTANCE CORP
CRDE3,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.
CRFB3,ATACADÃO S.A.
CRFF11,CAIXA RIO BRAVO FDO DE FDOS INV IMOB II
CRHP34,CRH PLC
CRIN34,CARTERS INC
CRIP34,TRIP.COM GROUP LIMITED
CRIV3,FINANCEIRA ALFA S.A.- CRED FINANC E INVS
CRIV4,FINANCEIRA ALFA S.A.- CRED FINANC E INVS
CRML4,CARBOMIL S.A.
CRPC4,CRP CADERI CAPITAL DE RISCO S/A
CRPG3,TRONOX PIGMENTOS DO BRASIL S.A.
CRPG5,TRONOX PIGMENTOS DO BRASIL S.A.
CRPG6,TRONOX PIGMENTOS DO BRASIL S.A.
CRPM11,VOTORANTIM CARDIO PULMONAR FDO INV IMOB - FII
CRPM12,VOTORANTIM CARDIO PULMONAR FDO INV IMOB - FII
CRTE3B,CONC RIO-TERESOPOLIS S.A.
CRTE5B,CONC RIO-TERESOPOLIS S.A.
CSAB3,CIA SEGUROS ALIANCA DA BAHIA
CSAB4,CIA SEGUROS ALIANCA DA BAHIA
CSAL4,CIA ABASTEC. D''AGUA E SAN. EST. ALAGOAS
CSAM3,COSAMA - CIA DE SANEAMENTO DA AMAZONIA
CSAM4,COSAMA - CIA DE SANEAMENTO DA AMAZONIA
CSAN3,COSAN S.A.
CSCO34,"CISCO SYSTEMS, INC."
CSMG3,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
CSNA3,CIA SIDERURGICA NACIONAL
CSRN3,CIA ENERGETICA DO RIO GDE NORTE - COSERN
